smiles,value
Cc1cccc(C=C)c1,2.638020000000001
Cc1cc(cc(C)c1O)C(C)(C)c2cc(C)c(O)c(C)c2,4.657380000000004
O=C1CCCCCCCCCOCCCCCO1,3.850900000000003
CCCCCCCCCCC(C)CCCCCCCC,7.903900000000008
NC(=O)N=NC(N)=O,-0.4039999999999998
CC(C)(C)c1ccc(O)c(c1)C(C)(C)C,3.987200000000003
COc1ccc(cc1N)C(=O)Nc2ccccc2,2.529700000000001
[C-]#[O+],-0.03751
CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC,18.769099999999984
N#CCN(CCN(CC#N)CC#N)CC#N,-0.31528
CC(C)(C)OOC(=O)c1ccccc1,2.573500000000001
CC(F)F,1.2714
CCC(C)(O)CCCC(C)C,2.973700000000002
COc1ccc2NC(=S)Nc2c1,2.23409
FC(F)(F)Br,1.9011
C1OC1COc2ccc3c(OCC4CO4)cccc3c2,2.3950000000000005
C[C@@H]1CC=C(C)[C@H](\C=C\C(C)=O)C1(C)C,3.760100000000003
CO[SiH](CC1CCCCC1)OC,2.08
Nc1ccc(\C=C\c2ccc(N)cc2[S](O)(=O)=O)c(c1)[S](O)(=O)=O,1.5148000000000006
OC(=O)CC[P](O)(=O)c1ccccc1,1.057
O=[S](Cc1ccccc1)Cc2ccccc2,3.1355000000000013
CC(C)(N=NC(C)(C)C#N)C#N,2.04296
Clc1sc2ccccc2n1,2.949700000000001
Nc1ccccc1[S](O)(=O)=O,0.5155000000000001
CC(=O)Nc1ccc(cc1)[S](Cl)(=O)=O,1.5724999999999998
CCC(=O)OC1C(C)CCCC1(C)C,3.1544000000000016
COC(=O)c1ccc(cc1)C(=O)OC,1.2597999999999998
CCCCCCCC1CCCC1=O,3.716100000000002
O=C(Cc1ccccc1)OCc2ccccc2,2.972500000000001
CN(C)C(=S)SC(=S)N(C)C,1.4126
CCC(=O)C(C)CC=C(C)C,2.9579000000000013
CCOC(=O)CC(C)CC(C)(C)C,3.0119000000000016
Cc1cc(C)c(N)c(c1)[S](O)(=O)=O,1.13234
s1cccc1,1.7481
CC(C)(c1ccc(O)cc1)c2ccc(O)cc2,3.423700000000002
ClC(Cl)(Cl)C=O,1.5555
s1cnc2ccccc12,2.2963000000000005
OC(=O)c1cccc(c1)[N+]([O-])=O,1.293
O=C1Nc2ccccc2C(=O)O1,0.4813
OC(c1ccccc1)C(=O)c2ccccc2,2.602900000000001
CCCCCCCCO,2.3392000000000013
O=[Te]=O,-0.6184000000000001
COC(=O)COc1nc(F)c(Cl)c(N)c1Cl,1.6615
CC(C)=CCCC(C)(OC(C)=O)C=C,3.2406000000000024
COc1ccc(cc1O)[C@@H]2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)cc3O2,-1.1566000000000003
CCCCC(CC)COC(C)=O,2.765900000000001
CCCCCCCCC(C)C#N,3.896680000000004
CCN1C(=O)C(=N/Nc2ccc(Cl)cc2[N+]([O-])=O)/C(=C(C#N)C1=O)C,2.24488
ClCCc1cc2CC(=O)Nc2cc1Cl,2.615900000000001
CCCCOCCOC(=O)CCCCC(=O)OCCOCCCC,3.2666000000000013
CCC1CCC(CCC(O)=O)C1,2.6775
CC(c1ccccc1)c2ccccc2,3.8384000000000023
Cc1ccccc1Cc2ccccc2,3.585820000000002
CC(=O)O[C@@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]12C)C(C)=O,4.0191000000000034
OC(=O)c1cc(Nc2ccccc2)c(cc1Nc3ccccc3)C(O)=O,4.5702000000000025
CCc1ccc(C)nc1,1.95242
O=C1N=C(NC(=N1)c2ccccc2)c3ccccc3,2.498900000000001
CC(C)C(=O)OC(C)(CCC=C(C)C)C=C,3.876700000000003
Cc1cc(C)c(c(C)c1)C(=O)[P](=O)(c2ccccc2)c3ccccc3,4.766160000000004
CCCCC(CC)C(=O)OCC(C)(C)COC(=O)C(CC)CCCC,5.531800000000006
CCOC(=O)C1C(C=C(C)C)C1(C)C,2.7879000000000014
NC(=O)c1ccc(NC(=O)c2ccc(cc2)[N+]([O-])=O)cc1,1.946
CC(=O)c1cc(cc2c1CCC2(C)C)C(C)(C)C,4.410500000000004
COc1cc(N[S](=O)(=O)c2ccc(C)cc2)c3C(=O)c4ccccc4C(=O)c3c1N,3.162020000000001
Cc1ccc(Nc2cc(C(O)=O)c(Nc3ccc(C)cc3)cc2C(O)=O)cc1,5.187040000000003
COc1cc(NC(=O)c2cc3ccccc3cc2O)c(OC)cc1Cl,4.468300000000003
CCCCC(CC)COC(=O)C(C)=C,3.3221000000000016
CCCCC(CC)CCl,3.441600000000002
NC(=O)c1ccc(NC(=O)c2ccc(N)cc2)cc1,1.62
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(=O)[C@H](C)O,2.3712000000000004
C=CC(=O)OCCCCCCCCCCOC(=O)C=C,3.5656000000000025
C[C@H]1CC(=O)C[C@@H]2CC[C@H]3[C@@H]4CC[C@H](O)[C@@]4(C)CC[C@@H]3[C@@]12C,4.205100000000003
CC1(C)CC2(CC(C)(C)N1)OC3(CCCCCCCCCCC3)NC2=O,4.813200000000005
CCC(C)(C)c1ccc(O)c(c1)C(C)(C)CC,4.767400000000005
ClC(=O)OCCOCCOC(Cl)=O,1.7538
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,1.5576
OCc1cccc(Oc2ccccc2)c1,2.9712000000000005
COC(=O)\C=C\c1ccccc1,1.8728
CSc1cc(SC)c(N)c(C)c1N,2.6032200000000003
COc1ccc(\C=C\C)cc1OC,2.736900000000001
Cc1ccc2cccc(O)c2n1,2.2488200000000007
CC(C)(COCCCOC(=O)C=C)COCCCOC(=O)C=C,2.2844000000000007
COC(=O)c1cccc(c1)C(=O)OC,1.2597999999999998
C=Cc1ccccc1,2.3296
CCCCCCOC(=O)C(C)=C,2.686000000000001
Nc1scc(n1)c2ccc3ccccc3c2,3.545500000000001
CCCCCC(CO)Cc1ccccc1,3.417900000000002
CCCCCCCCCC=O,3.3260000000000023
CC(=O)OC/C=C(C)/CCC=C(C)C,3.242200000000002
CC(CC/C=C(C)/CCC=O)C=C,3.5141000000000027
CC(=C)C(=O)OCCOc1ccccc1,2.1847000000000003
CCOc1cc(C=O)ccc1O,1.6034
CC(=O)CCc1ccccc1,2.2082
COc1cc(NC(=O)CC(C)=O)c(OC)cc1Cl,2.2748
CC(=O)OC\C=C\c1ccccc1,2.2629
CC(=O)Oc1ccc(cc1C2C(=O)Oc3ccc(cc23)C(C)(C)CC(C)(C)C)C(C)(C)CC(C)(C)C,8.090400000000008
CCCCOCCOCCOCc1cc2OCOc2cc1CCC,3.7177000000000016
CCC(C)CCCC(C)(C)O,2.9737000000000022
Nc1cc(ccc1O)[S](O)(=O)=O,0.2210999999999999
C[C@]12CCC(=O)C=C1CC[C@H]3[C@@H]4CC[C@](O)(C(=O)CO)[C@@]4(C)C[C@H](O)[C@H]23,1.7816
CC(CO)CCC1CC=C(C)C1(C)C,3.387400000000002
CCCCCCCCCCCC(=O)N(C)C,3.9955000000000034
CC(C)(C)C1CCC(O)CC1,2.583600000000001
CCCCCCCCCCCCCCN(C)C,5.249100000000005
CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C1CC(O)C2(O)C(=O)CO,0.5283999999999995
CCCCl,1.6352
[O-][N+](=O)c1cccc(Cl)c1,2.2482000000000006
CCNc1ccccc1,2.1184
Cc1ccc(Cl)c(Cl)c1,3.301820000000001
COc1cc(c(OC)cc1N)[S](=O)(=O)Nc2ccccc2,2.0868
CC(=O)CC(c1ccccc1)C2=C(O)Oc3ccccc3C2=O,3.609600000000002
CC(C)CO[P](=O)(OCC(C)C)OCC(C)C,4.112300000000004
COC(=O)c1ccccc1C,1.78162
CC(C)=C,1.5824
CC(=O)OC[C@@H](OC(C)=O)C=C,0.6672
Nc1cccc(O)c1,0.9744
CCc1cc(Cc2cc(CC)c(N)c(CC)c2Cl)c(Cl)c(CC)c1N,5.998200000000005
CCCc1nc(C)c2n1NC(=NC2=O)c3cc(ccc3OCC)[S](=O)(=O)N4CCN(CC)CC4,2.0704199999999995
CCCCCCCC/C=C/CCCCCCCC(=O)NCCCN(C)C,6.091800000000006
Cc1c(Cl)cccc1Cl,3.301820000000001
